,Claim_ID,Policy_ID,Customer_ID,Date_of_Claim,Date_of_Incident,Claim_Amount,Approved_Amount,Claim_Status,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Customer_Age,Customer_Gender,Customer_Income,Customer_Credit_Score,Customer_Region,Incident_Type,Incident_Severity,Reported_By,Claim_Filing_Channel,Processing_Time,Payment_Method,Previous_Claims_Count,Previous_Claims_Amount,Fraud_Suspected,Adjuster_ID,Adjuster_Decision_Date,Adjuster_Notes,Third_Party_Involvement,Third_Party_Cost,Legal_Action_Taken,Resolution_Date,Resolution_Time,Customer_Satisfaction_Score,Claim_Rejection_Reason,Claim_Approval_Reason
1,3,102,1003,1/10/2024,12/29/2023,4001,3800,Pending,Auto,7/1/2022,12/31/2023,1493,30,Male,50132,680,Suburban,Fire,Medium,Self,Phone,14,Direct Transfer,2,4845,FALSE,503,1/14/2024,Needs further review,TRUE,1948,FALSE,1/19/2024,18,4.5,,Pending adjuster approval
2,3,103,1003,1/10/2024,12/29/2023,4633,4454,Pending,Health,7/1/2022,12/31/2023,1240,35,Female,58726,682,Suburban,Fire,Medium,Agent,Agent,15,Direct Transfer,1,1931,TRUE,503,1/14/2024,Needs further review,TRUE,1023,FALSE,1/19/2024,19,3.2,,Pending adjuster approval
3,1,102,1001,1/5/2024,12/20/2023,6761,6749,Rejected,Home,5/2/2022,12/31/2023,830,45,Female,74835,750,Urban,Accident,High,Agent,Online,6,Cheque,0,1,TRUE,501,1/7/2024,Valid claim,FALSE,3,TRUE,1/10/2024,11,3,Fraud detected,
4,2,102,1001,1/5/2024,12/20/2023,6742,6749,Rejected,Home,5/13/2022,12/31/2023,836,45,Female,74628,750,Urban,Theft,High,Agent,Online,8,Cheque,0,5,TRUE,501,1/7/2024,Fraud suspected,FALSE,14,TRUE,1/10/2024,13,3,Fraud detected,Pending adjuster approval
5,2,103,1002,1/9/2024,12/26/2023,5029,4825,Pending,Auto,7/1/2022,12/31/2023,1132,37,Female,62613,698,Suburban,Fire,Low,Agent,Agent,12,Cheque,1,1180,TRUE,502,1/13/2024,Needs further review,FALSE,722,TRUE,1/16/2024,17,3.5,Fraud detected,Pending adjuster approval
6,3,103,1002,1/10/2024,12/27/2023,4439,3971,Pending,Auto,7/1/2022,12/31/2023,1268,33,Female,57408,685,Suburban,Fire,Medium,Agent,Agent,13,Direct Transfer,1,2186,FALSE,502,1/14/2024,Needs further review,TRUE,1110,FALSE,1/17/2024,18,3.8,,Pending adjuster approval
7,3,103,1003,1/10/2024,12/29/2023,4005,3800,Pending,Health,7/1/2022,12/31/2023,1481,30,Female,50408,680,Suburban,Fire,Medium,Self,Agent,14,Direct Transfer,2,4643,FALSE,503,1/14/2024,Needs further review,TRUE,1886,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
8,1,101,1001,1/5/2024,12/20/2023,6705,6745,Approved,Home,5/1/2022,12/31/2023,840,45,Male,74412,750,Urban,Accident,High,Agent,Online,5,Cheque,0,10,FALSE,501,1/7/2024,Valid claim,FALSE,23,TRUE,1/10/2024,10,3.2,Fraud detected,All documents valid
9,2,102,1002,1/6/2024,12/22/2023,5837,6070,Rejected,Home,7/1/2022,12/31/2023,980,41,Female,68628,736,Urban,Theft,High,Agent,Online,9,Cheque,0,405,FALSE,502,1/9/2024,Fraud suspected,FALSE,338,TRUE,1/12/2024,14,3.5,Fraud detected,Pending adjuster approval
10,1,101,1001,1/5/2024,12/20/2023,6264,6376,Approved,Home,5/4/2022,12/31/2023,901,43,Male,71761,750,Urban,Accident,High,Self,Online,6,Cheque,0,138,FALSE,501,1/7/2024,Valid claim,FALSE,154,TRUE,1/10/2024,10,3.9,Fraud detected,All documents valid
11,3,102,1003,1/10/2024,12/27/2023,4108,3806,Pending,Auto,7/1/2022,12/31/2023,1388,31,Female,53156,681,Suburban,Fire,Low,Self,Phone,13,Direct Transfer,2,3380,FALSE,503,1/14/2024,Needs further review,TRUE,1503,FALSE,1/17/2024,18,4.3,,Pending adjuster approval
12,2,102,1002,1/8/2024,12/23/2023,5104,4719,Rejected,Auto,7/1/2022,12/31/2023,1104,38,Female,63569,713,Suburban,Theft,High,Agent,Online,10,Cheque,1,1016,FALSE,502,1/11/2024,Fraud suspected,FALSE,647,TRUE,1/13/2024,15,3.8,Fraud detected,Pending adjuster approval
